HG Story Title	Author	Genre	Subgenre (if applicable)	Word Count	# of Omnibus Ratings	Omnibus Rating	# of Steam Reviews	% of Positive Steam Reviews	# of Google Reviews	# of GPS Installs	GPS Score	Release Date	Price	Free?
War for Magincia	Philip Kempton	Fantasy	Historical	200000	819	4.4	8	38%	288	10k+	3.5	6/4/2020	$4.99	Nope
Trees Don’t Tell	Taylor Zane	Mystery	Horror	36000	9	4.8			16	1k+	3.9	7/2/2020	$2.99	Nope
President Disaster	Marc Faletti and Maeve Adams	Humor	Politics	36000	322	4.1			108	1k+	2.5	7/2/2020	$4.99	Yup
The Floating City	Felicity Banks	Post-apocalyptic	Sci-Fi	140000	25	4.4	4	75%	44	1k+	3.6	8/6/2020	$3.99	Nope
Macabre Mansion	Billy Towers	Mystery	Horror	43000	122	3.6			18	500+	3.8	8/6/2020	$2.99	Yup
A Sorcerer’s Story	Chris Viola	Supernatural	Fantasy	55000	126	3.8			48	1k+	2.6	9/2/2020	$2.99	Nope
Balance of Superpower	Rustem Khafizov	Superhero	Sci-Fi	67000	422	4.3			70	1k+	3	9/2/2020	$2.99	Nope
Hero or Villain: Battle Royale*	Adrao	Superhero		250000	1955	4.6	7	57%	387	10k+	4.3	9/16/2020	$4.99	Nope
Demon: Recollect	B’athala	Superhero	Fantasy	180000	2316	4.7			451	10k+	4.4	10/1/2020	$4.99	Nope
Too Different	Andrew Specter	Romance	Mystery	220000	636	4.1	3	33%	65	1k+	3.6	10/9/2020	$2.99	Nope
Score of a Lifetime	John Lance	Romance	Crime	43000	230	4			31	1k+	3	11/5/2020	$2.99	Nope
After the Storm	Luiza Alves	Romance	Fantasy	190000	1196	4.6			168	5k+	4.2	12/3/2020	$4.99	Nope
The Brothers’ War	Fionn Graham	Historical	Fantasy	62000	339	4			71	1k+	3.3	1/7/2021	$2.99	Nope
Relics of the Lost Age	James Shaw	Historical	Fantasy	400000	603	4.8	9	78%	141	1k+	4.4	1/7/2021	$5.99	Nope
Keeper of the Day and Night	Brynn Chernosky	Supernatural	School	390000	2499	4.8	16	100%	265	5k+	4.7	4/1/2021	$5.99	Nope
The Mage’s Adventures	Samuel Harrison Young	Fantasy	Supernatural	120000	524	4.4			57	1k+	4	4/15/2021	$3.99	Nope
War of 2022	YHGS	War		120000	598	4			92	1k+	4.1	4/15/2021	$3.99	Nope
